,RollType,strength,dexterity,constituion,intellegence,wisdom,charisma,str mod,dex mod,con mod,int mod,wis mod,char mod
34,3D6,5,13,16,13,13,11,-3,1,3,1,1,0
35,3D6,9,11,13,5,13,14,-1,0,1,-3,1,2
36,3D6,10,6,6,7,12,5,0,-2,-2,-2,1,-3
37,3D6,9,6,12,10,10,13,-1,-2,1,0,0,1
38,3D6,12,10,11,9,11,12,1,0,0,-1,0,1
39,3D6,9,12,12,10,10,10,-1,1,1,0,0,0
40,3D6,9,4,7,7,15,7,-1,-3,-2,-2,2,-2
41,3D6,9,7,11,13,8,9,-1,-2,0,1,-1,-1
42,3D6,12,16,5,15,9,6,1,3,-3,2,-1,-2
43,3D6,11,9,14,11,17,10,0,-1,2,0,3,0
44,3D6,6,8,10,9,9,16,-2,-1,0,-1,-1,3
45,3D6,10,9,11,8,8,12,0,-1,0,-1,-1,1
46,3D6,10,8,12,6,9,15,0,-1,1,-2,-1,2
47,3D6,9,7,12,12,10,13,-1,-2,1,1,0,1
48,3D6,9,6,16,11,10,10,-1,-2,3,0,0,0
49,3D6,13,8,10,8,17,12,1,-1,0,-1,3,1
50,3D6,12,12,10,13,18,12,1,1,0,1,4,1
51,3D6,12,11,4,9,14,12,1,0,-3,-1,2,1
52,3D6,15,9,8,11,7,12,2,-1,-1,0,-2,1
53,3D6,14,12,14,16,15,8,2,1,2,3,2,-1
54,3D6,13,9,12,11,6,5,1,-1,1,0,-2,-3
55,3D6,9,8,12,15,14,15,-1,-1,1,2,2,2
56,3D6,11,13,5,11,10,14,0,1,-3,0,0,2
57,3D6,15,9,9,9,9,12,2,-1,-1,-1,-1,1
58,3D6,12,8,4,13,7,12,1,-1,-3,1,-2,1
59,3D6,14,6,14,11,13,10,2,-2,2,0,1,0
60,3D6,13,15,9,7,9,12,1,2,-1,-2,-1,1
61,3D6,10,7,13,9,11,12,0,-2,1,-1,0,1
62,3D6,8,10,14,14,15,7,-1,0,2,2,2,-2
63,3D6,5,7,9,13,5,7,-3,-2,-1,1,-3,-2
64,3D6,8,12,14,9,10,7,-1,1,2,-1,0,-2
65,3D6,15,7,12,8,12,14,2,-2,1,-1,1,2
66,3D6,8,9,10,12,12,16,-1,-1,0,1,1,3
67,3D6,10,8,11,14,12,14,0,-1,0,2,1,2
68,3D6,9,6,13,12,9,11,-1,-2,1,1,-1,0
69,3D6,13,17,14,12,14,14,1,3,2,1,2,2
70,3D6,13,15,15,14,13,12,1,2,2,2,1,1
71,3D6,8,11,11,9,8,14,-1,0,0,-1,-1,2
72,3D6,14,15,9,16,11,13,2,2,-1,3,0,1
73,3D6,5,15,16,13,9,6,-3,2,3,1,-1,-2
74,3D6,10,10,11,14,6,7,0,0,0,2,-2,-2
75,3D6,14,16,6,7,4,10,2,3,-2,-2,-3,0
76,3D6,9,10,12,6,8,15,-1,0,1,-2,-1,2
77,3D6,16,10,7,16,11,10,3,0,-2,3,0,0
78,3D6,10,18,12,7,14,11,0,4,1,-2,2,0
79,3D6,9,11,11,8,12,14,-1,0,0,-1,1,2
80,3D6,12,12,11,12,7,9,1,1,0,1,-2,-1
81,3D6,13,9,8,7,5,16,1,-1,-1,-2,-3,3
82,3D6,16,8,11,7,12,16,3,-1,0,-2,1,3
83,3D6,8,9,12,11,17,8,-1,-1,1,0,3,-1
84,3D6,11,15,12,14,13,15,0,2,1,2,1,2
85,3D6,12,4,9,15,10,12,1,-3,-1,2,0,1
86,3D6,10,15,9,4,11,12,0,2,-1,-3,0,1
87,3D6,4,8,10,7,17,5,-3,-1,0,-2,3,-3
88,3D6,9,16,11,15,4,13,-1,3,0,2,-3,1
89,3D6,13,9,10,4,11,8,1,-1,0,-3,0,-1
90,3D6,10,9,15,10,14,8,0,-1,2,0,2,-1
91,3D6,9,10,9,8,11,8,-1,0,-1,-1,0,-1
92,3D6,9,7,5,9,11,10,-1,-2,-3,-1,0,0
93,3D6,7,13,8,13,11,10,-2,1,-1,1,0,0
94,3D6,11,4,8,11,16,9,0,-3,-1,0,3,-1
95,3D6,15,10,8,5,11,14,2,0,-1,-3,0,2
96,3D6,11,8,13,17,4,11,0,-1,1,3,-3,0
97,3D6,11,5,14,13,10,9,0,-3,2,1,0,-1
98,3D6,11,14,11,9,6,10,0,2,0,-1,-2,0
99,3D6,7,10,10,11,11,9,-2,0,0,0,0,-1
100,3D6,12,7,6,10,14,13,1,-2,-2,0,2,1
101,3D6,7,6,15,8,11,12,-2,-2,2,-1,0,1
102,3D6,10,12,9,7,10,8,0,1,-1,-2,0,-1
103,3D6,7,9,14,11,11,11,-2,-1,2,0,0,0
104,3D6,12,12,6,11,12,9,1,1,-2,0,1,-1
105,3D6,13,10,12,8,9,9,1,0,1,-1,-1,-1
106,3D6,12,12,10,9,10,11,1,1,0,-1,0,0
107,3D6,13,9,11,6,13,14,1,-1,0,-2,1,2
108,3D6,12,12,13,12,10,6,1,1,1,1,0,-2
109,3D6,13,9,10,15,8,6,1,-1,0,2,-1,-2
110,3D6,13,9,9,9,9,12,1,-1,-1,-1,-1,1
111,3D6,17,8,4,14,14,8,3,-1,-3,2,2,-1
112,3D6,7,17,15,13,12,11,-2,3,2,1,1,0
113,3D6,9,13,13,16,5,5,-1,1,1,3,-3,-3
114,3D6,11,12,13,11,10,12,0,1,1,0,0,1
115,3D6,15,8,13,5,12,10,2,-1,1,-3,1,0
116,3D6,9,8,11,7,5,6,-1,-1,0,-2,-3,-2
117,3D6,7,9,9,7,11,16,-2,-1,-1,-2,0,3
118,3D6,16,11,9,11,11,12,3,0,-1,0,0,1
119,3D6,12,9,12,16,15,11,1,-1,1,3,2,0
120,3D6,7,11,9,12,11,13,-2,0,-1,1,0,1
121,3D6,9,12,10,10,11,3,-1,1,0,0,0,-4
122,3D6,12,14,11,6,12,4,1,2,0,-2,1,-3
123,3D6,7,14,9,5,17,7,-2,2,-1,-3,3,-2
124,3D6,11,15,12,11,5,14,0,2,1,0,-3,2
125,3D6,12,7,8,13,12,13,1,-2,-1,1,1,1
126,3D6,7,9,15,6,7,11,-2,-1,2,-2,-2,0
127,3D6,11,12,10,7,10,10,0,1,0,-2,0,0
128,3D6,4,10,12,11,12,10,-3,0,1,0,1,0
129,3D6,12,12,10,12,9,6,1,1,0,1,-1,-2
130,3D6,9,17,13,6,8,13,-1,3,1,-2,-1,1
131,3D6,11,8,15,8,8,14,0,-1,2,-1,-1,2
132,3D6,13,8,14,8,15,9,1,-1,2,-1,2,-1
133,3D6,7,17,16,14,8,16,-2,3,3,2,-1,3
134,3D6,15,6,15,7,11,9,2,-2,2,-2,0,-1
135,3D6,12,11,9,10,17,8,1,0,-1,0,3,-1
136,3D6,15,7,11,10,11,12,2,-2,0,0,0,1
137,3D6,8,12,9,12,12,11,-1,1,-1,1,1,0
138,3D6,11,7,15,12,11,8,0,-2,2,1,0,-1
139,3D6,16,10,13,14,8,9,3,0,1,2,-1,-1
140,3D6,10,8,16,9,10,5,0,-1,3,-1,0,-3
141,3D6,10,7,10,9,10,5,0,-2,0,-1,0,-3
142,3D6,10,5,10,12,11,11,0,-3,0,1,0,0
143,3D6,14,10,14,13,10,8,2,0,2,1,0,-1
144,3D6,8,12,13,9,10,13,-1,1,1,-1,0,1
145,3D6,9,14,15,6,9,10,-1,2,2,-2,-1,0
146,3D6,14,9,11,11,11,10,2,-1,0,0,0,0
147,3D6,11,9,11,14,10,11,0,-1,0,2,0,0
148,3D6,10,5,11,12,8,10,0,-3,0,1,-1,0
149,3D6,13,13,13,10,11,8,1,1,1,0,0,-1
150,3D6,10,9,12,13,9,8,0,-1,1,1,-1,-1
151,3D6,10,12,13,9,7,9,0,1,1,-1,-2,-1
152,3D6,10,8,12,12,5,10,0,-1,1,1,-3,0
153,3D6,13,8,9,7,13,9,1,-1,-1,-2,1,-1
154,3D6,8,10,11,12,13,9,-1,0,0,1,1,-1
155,3D6,15,15,10,13,3,11,2,2,0,1,-4,0
156,3D6,14,10,13,13,13,13,2,0,1,1,1,1
157,3D6,8,10,11,12,14,8,-1,0,0,1,2,-1
158,3D6,5,7,7,13,10,11,-3,-2,-2,1,0,0
159,3D6,15,15,14,11,8,14,2,2,2,0,-1,2
160,3D6,11,9,14,8,10,13,0,-1,2,-1,0,1
161,3D6,9,7,6,11,8,9,-1,-2,-2,0,-1,-1
162,3D6,8,12,11,7,12,10,-1,1,0,-2,1,0
163,3D6,15,13,13,9,11,8,2,1,1,-1,0,-1
164,3D6,12,10,7,4,11,11,1,0,-2,-3,0,0
165,3D6,13,10,8,9,14,12,1,0,-1,-1,2,1
166,3D6,13,16,8,10,9,8,1,3,-1,0,-1,-1
167,3D6,10,10,6,17,11,7,0,0,-2,3,0,-2
168,3D6,9,13,10,9,5,7,-1,1,0,-1,-3,-2
169,3D6,14,8,12,12,10,15,2,-1,1,1,0,2
170,3D6,10,9,5,10,7,12,0,-1,-3,0,-2,1
171,3D6,12,13,14,8,10,9,1,1,2,-1,0,-1
172,3D6,10,10,11,7,9,14,0,0,0,-2,-1,2
173,3D6,12,7,14,10,13,11,1,-2,2,0,1,0
174,3D6,7,12,11,10,16,11,-2,1,0,0,3,0
175,3D6,13,9,11,15,10,12,1,-1,0,2,0,1
176,3D6,12,12,13,7,11,11,1,1,1,-2,0,0
177,3D6,11,16,9,9,16,13,0,3,-1,-1,3,1
178,3D6,12,8,11,11,8,14,1,-1,0,0,-1,2
179,3D6,4,8,9,7,14,13,-3,-1,-1,-2,2,1
180,3D6,9,12,12,12,13,13,-1,1,1,1,1,1
181,3D6,15,15,8,14,9,14,2,2,-1,2,-1,2
182,3D6,10,8,6,6,5,4,0,-1,-2,-2,-3,-3
183,3D6,11,14,6,6,9,10,0,2,-2,-2,-1,0
184,3D6,13,14,12,7,5,7,1,2,1,-2,-3,-2
185,3D6,10,8,9,10,13,12,0,-1,-1,0,1,1
186,3D6,13,14,7,11,13,11,1,2,-2,0,1,0
187,3D6,11,10,6,4,8,9,0,0,-2,-3,-1,-1
188,3D6,6,13,8,7,16,8,-2,1,-1,-2,3,-1
189,3D6,14,6,8,5,8,12,2,-2,-1,-3,-1,1
190,3D6,11,8,13,9,8,8,0,-1,1,-1,-1,-1
191,3D6,9,7,11,14,9,9,-1,-2,0,2,-1,-1
192,3D6,17,14,4,11,13,8,3,2,-3,0,1,-1
193,3D6,11,7,16,11,10,9,0,-2,3,0,0,-1
194,3D6,14,13,11,9,10,16,2,1,0,-1,0,3
195,3D6,12,8,8,13,12,13,1,-1,-1,1,1,1
196,3D6,13,10,13,10,10,8,1,0,1,0,0,-1
197,3D6,7,14,15,12,15,17,-2,2,2,1,2,3
198,3D6,13,8,13,4,11,10,1,-1,1,-3,0,0
199,3D6,9,11,13,9,11,11,-1,0,1,-1,0,0
200,3D6,12,12,9,6,6,13,1,1,-1,-2,-2,1
201,3D6,13,7,8,9,11,8,1,-2,-1,-1,0,-1
202,3D6,9,10,12,9,15,11,-1,0,1,-1,2,0
203,3D6,12,13,10,12,11,16,1,1,0,1,0,3
204,3D6,13,10,13,13,14,9,1,0,1,1,2,-1
205,3D6,11,13,9,7,7,10,0,1,-1,-2,-2,0
206,3D6,9,9,10,9,12,9,-1,-1,0,-1,1,-1
207,3D6,9,6,14,13,11,16,-1,-2,2,1,0,3
208,3D6,10,11,12,11,7,8,0,0,1,0,-2,-1
209,3D6,6,10,11,11,11,14,-2,0,0,0,0,2
210,3D6,10,6,6,11,12,12,0,-2,-2,0,1,1
211,3D6,7,11,14,11,7,11,-2,0,2,0,-2,0
212,3D6,11,9,15,6,16,7,0,-1,2,-2,3,-2
213,3D6,11,11,9,10,7,11,0,0,-1,0,-2,0
214,3D6,5,14,12,10,6,8,-3,2,1,0,-2,-1
215,3D6,12,6,15,6,10,12,1,-2,2,-2,0,1
216,3D6,6,9,10,12,4,13,-2,-1,0,1,-3,1
217,3D6,11,3,10,13,12,3,0,-4,0,1,1,-4
218,3D6,11,12,6,14,15,14,0,1,-2,2,2,2
219,3D6,9,6,5,10,13,15,-1,-2,-3,0,1,2
220,3D6,4,12,12,15,11,13,-3,1,1,2,0,1
221,3D6,10,5,11,6,10,13,0,-3,0,-2,0,1
222,3D6,9,6,6,9,8,11,-1,-2,-2,-1,-1,0
223,3D6,8,10,10,7,10,9,-1,0,0,-2,0,-1
224,3D6,11,5,6,15,11,9,0,-3,-2,2,0,-1
225,3D6,7,8,11,12,12,9,-2,-1,0,1,1,-1
226,3D6,14,5,11,8,8,11,2,-3,0,-1,-1,0
227,3D6,6,14,6,12,9,17,-2,2,-2,1,-1,3
228,3D6,12,5,15,13,12,7,1,-3,2,1,1,-2
229,3D6,6,13,12,9,8,8,-2,1,1,-1,-1,-1
230,3D6,15,13,7,15,15,6,2,1,-2,2,2,-2
231,3D6,6,14,7,10,9,5,-2,2,-2,0,-1,-3
232,3D6,12,14,14,6,11,11,1,2,2,-2,0,0
233,3D6,10,11,11,14,14,6,0,0,0,2,2,-2
234,3D6,10,8,14,9,11,9,0,-1,2,-1,0,-1
235,3D6,7,12,9,12,13,13,-2,1,-1,1,1,1
236,3D6,5,12,10,10,6,12,-3,1,0,0,-2,1
237,3D6,7,9,13,11,13,12,-2,-1,1,0,1,1
238,3D6,8,11,12,12,12,14,-1,0,1,1,1,2
239,3D6,13,10,9,14,8,8,1,0,-1,2,-1,-1
240,3D6,12,18,13,11,13,10,1,4,1,0,1,0
241,3D6,11,11,15,16,12,12,0,0,2,3,1,1
242,3D6,15,17,13,12,7,11,2,3,1,1,-2,0
243,3D6,18,5,15,8,9,10,4,-3,2,-1,-1,0
244,3D6,10,14,13,9,14,9,0,2,1,-1,2,-1
245,3D6,8,8,8,13,15,9,-1,-1,-1,1,2,-1
246,3D6,15,16,13,3,15,10,2,3,1,-4,2,0
247,3D6,11,6,9,14,7,13,0,-2,-1,2,-2,1
248,3D6,12,7,8,11,13,11,1,-2,-1,0,1,0
249,3D6,7,14,13,14,9,7,-2,2,1,2,-1,-2
250,3D6,8,14,10,8,8,10,-1,2,0,-1,-1,0
251,3D6,9,11,9,12,14,10,-1,0,-1,1,2,0
252,3D6,6,9,7,13,12,7,-2,-1,-2,1,1,-2
253,3D6,11,11,10,12,8,8,0,0,0,1,-1,-1
254,3D6,15,8,10,8,9,4,2,-1,0,-1,-1,-3
255,3D6,12,4,7,9,13,11,1,-3,-2,-1,1,0
256,3D6,6,13,4,10,8,14,-2,1,-3,0,-1,2
257,3D6,11,10,7,10,12,12,0,0,-2,0,1,1
258,3D6,10,5,7,14,8,15,0,-3,-2,2,-1,2
259,3D6,7,14,11,10,8,12,-2,2,0,0,-1,1
260,3D6,9,17,5,10,8,17,-1,3,-3,0,-1,3
261,3D6,10,11,9,13,8,14,0,0,-1,1,-1,2
262,3D6,5,15,8,7,10,18,-3,2,-1,-2,0,4
263,3D6,11,14,13,12,10,9,0,2,1,1,0,-1
264,3D6,12,9,11,10,10,7,1,-1,0,0,0,-2
265,3D6,7,12,5,13,11,11,-2,1,-3,1,0,0
266,3D6,6,11,13,8,10,8,-2,0,1,-1,0,-1
267,3D6,14,13,14,11,8,12,2,1,2,0,-1,1
268,3D6,12,6,9,9,10,13,1,-2,-1,-1,0,1
269,3D6,9,9,7,12,11,14,-1,-1,-2,1,0,2
270,3D6,9,10,12,11,8,13,-1,0,1,0,-1,1
271,3D6,9,12,11,15,6,12,-1,1,0,2,-2,1
272,3D6,9,8,7,8,11,11,-1,-1,-2,-1,0,0
273,3D6,8,15,15,14,8,16,-1,2,2,2,-1,3
274,3D6,8,9,12,11,13,6,-1,-1,1,0,1,-2
275,3D6,9,9,12,6,12,12,-1,-1,1,-2,1,1
276,3D6,4,11,7,15,10,14,-3,0,-2,2,0,2
277,3D6,16,7,12,8,10,10,3,-2,1,-1,0,0
278,3D6,13,9,12,12,6,9,1,-1,1,1,-2,-1
279,3D6,11,8,8,13,10,11,0,-1,-1,1,0,0
280,3D6,13,8,10,12,10,6,1,-1,0,1,0,-2
281,3D6,10,13,10,12,8,11,0,1,0,1,-1,0
282,3D6,16,11,12,11,15,12,3,0,1,0,2,1
283,3D6,15,12,10,11,8,6,2,1,0,0,-1,-2
284,3D6,7,7,14,11,7,6,-2,-2,2,0,-2,-2
285,3D6,9,14,14,10,10,14,-1,2,2,0,0,2
286,3D6,12,15,7,7,12,18,1,2,-2,-2,1,4
287,3D6,11,10,15,9,6,9,0,0,2,-1,-2,-1
288,3D6,11,8,9,8,9,6,0,-1,-1,-1,-1,-2
289,3D6,7,14,9,10,10,5,-2,2,-1,0,0,-3
290,3D6,7,13,6,15,10,9,-2,1,-2,2,0,-1
291,3D6,6,12,14,13,13,14,-2,1,2,1,1,2
292,3D6,9,13,7,10,9,9,-1,1,-2,0,-1,-1
293,3D6,13,8,10,8,15,6,1,-1,0,-1,2,-2
294,3D6,9,6,8,11,8,10,-1,-2,-1,0,-1,0
295,3D6,14,12,13,13,14,8,2,1,1,1,2,-1
296,3D6,11,11,12,8,11,17,0,0,1,-1,0,3
297,3D6,10,9,11,9,9,9,0,-1,0,-1,-1,-1
298,3D6,9,13,12,3,14,13,-1,1,1,-4,2,1
299,3D6,15,10,13,13,8,9,2,0,1,1,-1,-1
300,3D6,13,13,7,5,12,12,1,1,-2,-3,1,1
301,3D6,13,7,12,12,11,5,1,-2,1,1,0,-3
302,3D6,16,11,14,11,6,8,3,0,2,0,-2,-1
303,3D6,10,13,9,10,16,13,0,1,-1,0,3,1
304,3D6,3,9,14,14,15,12,-4,-1,2,2,2,1
305,3D6,14,8,11,10,12,10,2,-1,0,0,1,0
306,3D6,12,11,11,7,12,9,1,0,0,-2,1,-1
307,3D6,10,11,15,15,11,14,0,0,2,2,0,2
308,3D6,13,10,13,10,13,15,1,0,1,0,1,2
309,3D6,15,6,12,13,13,13,2,-2,1,1,1,1
310,3D6,14,11,8,6,13,10,2,0,-1,-2,1,0
311,3D6,11,16,10,13,8,12,0,3,0,1,-1,1
312,3D6,11,6,12,17,11,7,0,-2,1,3,0,-2
313,3D6,10,12,8,13,12,8,0,1,-1,1,1,-1
314,3D6,12,11,7,7,9,7,1,0,-2,-2,-1,-2
315,3D6,5,10,11,11,14,14,-3,0,0,0,2,2
316,3D6,9,12,14,8,13,17,-1,1,2,-1,1,3
317,3D6,17,13,11,13,9,12,3,1,0,1,-1,1
318,3D6,13,17,7,10,10,11,1,3,-2,0,0,0
319,3D6,16,6,16,13,11,16,3,-2,3,1,0,3
320,3D6,8,12,5,10,8,11,-1,1,-3,0,-1,0
321,3D6,9,13,11,14,8,13,-1,1,0,2,-1,1
322,3D6,10,12,9,10,11,15,0,1,-1,0,0,2
323,3D6,9,13,8,11,12,8,-1,1,-1,0,1,-1
324,3D6,10,8,8,11,3,8,0,-1,-1,0,-4,-1
325,3D6,12,7,10,11,12,8,1,-2,0,0,1,-1
326,3D6,8,12,8,9,13,13,-1,1,-1,-1,1,1
327,3D6,13,10,12,11,13,12,1,0,1,0,1,1
328,3D6,13,12,12,6,12,15,1,1,1,-2,1,2
329,3D6,9,8,9,12,10,7,-1,-1,-1,1,0,-2
330,3D6,11,11,9,9,10,14,0,0,-1,-1,0,2
331,3D6,9,8,14,12,6,6,-1,-1,2,1,-2,-2
332,3D6,8,14,14,10,15,11,-1,2,2,0,2,0
333,3D6,14,13,11,12,9,10,2,1,0,1,-1,0
334,3D6,7,8,8,16,12,11,-2,-1,-1,3,1,0
335,3D6,7,8,10,9,12,6,-2,-1,0,-1,1,-2
336,3D6,14,12,12,12,5,8,2,1,1,1,-3,-1
337,3D6,11,9,11,12,14,12,0,-1,0,1,2,1
338,3D6,7,13,11,13,8,16,-2,1,0,1,-1,3
339,3D6,11,12,8,9,11,7,0,1,-1,-1,0,-2
340,3D6,9,9,11,12,13,6,-1,-1,0,1,1,-2
341,3D6,10,17,5,10,12,10,0,3,-3,0,1,0
342,3D6,7,11,6,14,14,12,-2,0,-2,2,2,1
343,3D6,10,13,17,8,10,12,0,1,3,-1,0,1
344,3D6,6,14,7,12,14,9,-2,2,-2,1,2,-1
345,3D6,15,5,11,10,12,11,2,-3,0,0,1,0
346,3D6,6,15,11,9,13,4,-2,2,0,-1,1,-3
347,3D6,14,13,11,10,11,14,2,1,0,0,0,2
348,3D6,10,10,7,10,10,13,0,0,-2,0,0,1
349,3D6,8,7,11,13,5,8,-1,-2,0,1,-3,-1
350,3D6,9,11,14,12,11,12,-1,0,2,1,0,1
351,3D6,13,7,10,10,10,15,1,-2,0,0,0,2
352,3D6,10,13,9,7,8,10,0,1,-1,-2,-1,0
353,3D6,14,6,14,11,11,8,2,-2,2,0,0,-1
354,3D6,13,11,6,12,9,10,1,0,-2,1,-1,0
355,3D6,9,16,8,12,16,12,-1,3,-1,1,3,1
356,3D6,13,6,9,6,7,13,1,-2,-1,-2,-2,1
357,3D6,15,13,11,14,10,7,2,1,0,2,0,-2
358,3D6,14,7,6,12,10,11,2,-2,-2,1,0,0
359,3D6,9,3,10,16,4,8,-1,-4,0,3,-3,-1
360,3D6,12,5,7,16,11,12,1,-3,-2,3,0,1
361,3D6,11,6,6,7,4,12,0,-2,-2,-2,-3,1
362,3D6,15,5,11,14,7,13,2,-3,0,2,-2,1
363,3D6,8,8,9,13,13,12,-1,-1,-1,1,1,1
364,3D6,9,7,14,3,10,11,-1,-2,2,-4,0,0
365,3D6,7,9,10,9,14,14,-2,-1,0,-1,2,2
366,3D6,12,10,7,6,8,13,1,0,-2,-2,-1,1
367,3D6,10,13,12,14,7,12,0,1,1,2,-2,1
368,3D6,9,11,11,12,11,12,-1,0,0,1,0,1
369,3D6,8,7,10,11,7,8,-1,-2,0,0,-2,-1
370,3D6,10,7,8,13,8,14,0,-2,-1,1,-1,2
371,3D6,6,13,5,16,6,11,-2,1,-3,3,-2,0
372,3D6,8,13,7,14,14,17,-1,1,-2,2,2,3
373,3D6,11,14,6,10,13,6,0,2,-2,0,1,-2
374,3D6,15,11,4,5,6,9,2,0,-3,-3,-2,-1
375,3D6,11,5,9,10,10,14,0,-3,-1,0,0,2
376,3D6,7,6,5,13,14,10,-2,-2,-3,1,2,0
377,3D6,7,14,4,9,10,14,-2,2,-3,-1,0,2
378,3D6,15,9,7,13,10,10,2,-1,-2,1,0,0
379,3D6,10,7,11,10,10,14,0,-2,0,0,0,2
380,3D6,12,10,9,7,9,15,1,0,-1,-2,-1,2
381,3D6,10,9,9,8,10,8,0,-1,-1,-1,0,-1
382,3D6,5,17,11,13,10,7,-3,3,0,1,0,-2
383,3D6,8,12,9,11,13,10,-1,1,-1,0,1,0
384,3D6,9,8,8,14,12,8,-1,-1,-1,2,1,-1
385,3D6,9,13,7,9,10,11,-1,1,-2,-1,0,0
386,3D6,15,8,10,8,13,7,2,-1,0,-1,1,-2
387,3D6,11,12,10,8,15,10,0,1,0,-1,2,0
388,3D6,8,8,13,16,12,6,-1,-1,1,3,1,-2
389,3D6,16,8,9,12,11,6,3,-1,-1,1,0,-2
390,3D6,10,11,8,15,8,15,0,0,-1,2,-1,2
391,3D6,16,10,7,10,5,12,3,0,-2,0,-3,1
392,3D6,13,8,12,12,12,7,1,-1,1,1,1,-2
393,3D6,9,7,9,15,9,17,-1,-2,-1,2,-1,3
394,3D6,11,16,16,11,16,12,0,3,3,0,3,1
395,3D6,13,14,16,14,3,7,1,2,3,2,-4,-2
396,3D6,12,10,13,17,16,10,1,0,1,3,3,0
397,3D6,13,10,7,9,15,14,1,0,-2,-1,2,2
398,3D6,7,13,11,10,10,11,-2,1,0,0,0,0
399,3D6,7,11,13,15,8,16,-2,0,1,2,-1,3
400,3D6,10,13,14,13,11,12,0,1,2,1,0,1
401,3D6,13,14,11,13,10,11,1,2,0,1,0,0
402,3D6,16,13,11,12,13,12,3,1,0,1,1,1
403,3D6,15,10,14,11,11,10,2,0,2,0,0,0
404,3D6,13,13,11,10,11,16,1,1,0,0,0,3
405,3D6,6,7,7,13,10,7,-2,-2,-2,1,0,-2
406,3D6,16,9,13,11,11,16,3,-1,1,0,0,3
407,3D6,5,16,11,9,8,15,-3,3,0,-1,-1,2
408,3D6,11,17,9,11,13,11,0,3,-1,0,1,0
409,3D6,16,13,8,15,13,8,3,1,-1,2,1,-1
410,3D6,7,12,11,10,11,12,-2,1,0,0,0,1
411,3D6,12,12,12,12,5,17,1,1,1,1,-3,3
412,3D6,11,12,11,14,12,13,0,1,0,2,1,1
413,3D6,14,7,15,11,9,16,2,-2,2,0,-1,3
414,3D6,10,13,12,5,12,8,0,1,1,-3,1,-1
415,3D6,10,7,9,13,10,9,0,-2,-1,1,0,-1
416,3D6,7,5,15,9,8,8,-2,-3,2,-1,-1,-1
417,3D6,12,6,9,11,5,13,1,-2,-1,0,-3,1
418,3D6,13,15,12,13,6,10,1,2,1,1,-2,0
419,3D6,8,12,8,12,10,9,-1,1,-1,1,0,-1
420,3D6,7,9,8,6,9,8,-2,-1,-1,-2,-1,-1
421,3D6,12,9,13,7,15,6,1,-1,1,-2,2,-2
422,3D6,13,10,10,14,15,11,1,0,0,2,2,0
423,3D6,8,15,13,7,8,15,-1,2,1,-2,-1,2
424,3D6,10,12,12,11,8,6,0,1,1,0,-1,-2
425,3D6,11,7,7,12,14,15,0,-2,-2,1,2,2
426,3D6,15,9,10,11,9,18,2,-1,0,0,-1,4
427,3D6,8,4,11,16,6,12,-1,-3,0,3,-2,1
428,3D6,10,9,9,10,9,14,0,-1,-1,0,-1,2
429,3D6,10,15,9,8,10,11,0,2,-1,-1,0,0
