,roll_type,strength,dexterity,constitution,intellegence,wisdom,charisma,str mod,dex mod,con mod,int mod,wis mod,char mod
190,3D6,12,12,14,10,9,14,1,1,2,0,-1,2
191,3D6,13,16,8,11,10,10,1,3,-1,0,0,0
192,3D6,9,8,7,13,7,10,-1,-1,-2,1,-2,0
193,3D6,8,10,11,11,15,15,-1,0,0,0,2,2
194,3D6,11,14,11,11,15,10,0,2,0,0,2,0
195,3D6,11,8,10,12,8,13,0,-1,0,1,-1,1
196,3D6,12,10,8,11,15,8,1,0,-1,0,2,-1
197,3D6,15,10,10,8,10,12,2,0,0,-1,0,1
198,3D6,11,8,14,13,10,8,0,-1,2,1,0,-1
199,3D6,8,15,9,9,16,9,-1,2,-1,-1,3,-1
200,3D6,11,7,11,13,11,7,0,-2,0,1,0,-2
201,3D6,10,13,12,4,13,11,0,1,1,-3,1,0
202,3D6,10,13,9,13,13,9,0,1,-1,1,1,-1
203,3D6,10,9,13,10,13,16,0,-1,1,0,1,3
204,3D6,9,8,12,12,14,11,-1,-1,1,1,2,0
205,3D6,4,9,14,5,6,12,-3,-1,2,-3,-2,1
206,3D6,16,11,13,13,6,10,3,0,1,1,-2,0
207,3D6,8,10,12,5,9,7,-1,0,1,-3,-1,-2
208,3D6,8,13,11,6,9,13,-1,1,0,-2,-1,1
209,3D6,7,7,11,8,8,14,-2,-2,0,-1,-1,2
210,3D6,12,7,8,11,13,10,1,-2,-1,0,1,0
211,3D6,11,8,3,12,12,14,0,-1,-4,1,1,2
212,3D6,10,16,8,6,13,9,0,3,-1,-2,1,-1
213,3D6,13,12,9,8,17,9,1,1,-1,-1,3,-1
214,3D6,13,12,8,15,13,8,1,1,-1,2,1,-1
215,3D6,16,12,8,9,8,17,3,1,-1,-1,-1,3
216,3D6,9,9,15,9,8,13,-1,-1,2,-1,-1,1
217,3D6,12,14,16,11,14,9,1,2,3,0,2,-1
218,3D6,13,12,5,7,11,7,1,1,-3,-2,0,-2
219,3D6,11,9,14,11,8,8,0,-1,2,0,-1,-1
220,3D6,4,10,12,12,10,7,-3,0,1,1,0,-2
221,3D6,9,11,10,10,12,13,-1,0,0,0,1,1
222,3D6,13,13,10,6,14,16,1,1,0,-2,2,3
223,3D6,10,10,6,8,11,9,0,0,-2,-1,0,-1
224,3D6,10,12,15,12,13,12,0,1,2,1,1,1
225,3D6,9,5,11,11,14,7,-1,-3,0,0,2,-2
226,3D6,8,10,11,17,8,14,-1,0,0,3,-1,2
227,3D6,11,15,14,13,13,8,0,2,2,1,1,-1
228,3D6,7,5,8,9,8,11,-2,-3,-1,-1,-1,0
229,3D6,12,15,11,9,9,10,1,2,0,-1,-1,0
230,3D6,13,9,15,11,8,9,1,-1,2,0,-1,-1
231,3D6,11,11,6,15,6,10,0,0,-2,2,-2,0
232,3D6,8,9,10,9,10,6,-1,-1,0,-1,0,-2
233,3D6,12,12,10,15,16,10,1,1,0,2,3,0
234,3D6,12,11,8,12,12,9,1,0,-1,1,1,-1
235,3D6,9,14,11,9,13,11,-1,2,0,-1,1,0
236,3D6,9,11,10,7,15,9,-1,0,0,-2,2,-1
237,3D6,14,17,6,7,10,16,2,3,-2,-2,0,3
238,3D6,7,8,14,9,6,13,-2,-1,2,-1,-2,1
239,3D6,11,14,10,11,3,10,0,2,0,0,-4,0
240,3D6,9,11,7,10,14,9,-1,0,-2,0,2,-1
241,3D6,10,14,8,10,8,12,0,2,-1,0,-1,1
242,3D6,12,15,9,13,5,16,1,2,-1,1,-3,3
243,3D6,11,9,9,11,11,7,0,-1,-1,0,0,-2
244,3D6,8,16,16,7,8,13,-1,3,3,-2,-1,1
245,3D6,8,17,15,10,6,11,-1,3,2,0,-2,0
246,3D6,12,10,10,11,5,10,1,0,0,0,-3,0
247,3D6,8,11,8,13,7,13,-1,0,-1,1,-2,1
248,3D6,4,11,8,11,10,8,-3,0,-1,0,0,-1
249,3D6,3,13,14,10,11,11,-4,1,2,0,0,0
250,3D6,9,9,10,12,11,11,-1,-1,0,1,0,0
251,3D6,11,11,15,12,10,9,0,0,2,1,0,-1
252,3D6,7,8,11,8,10,10,-2,-1,0,-1,0,0
253,3D6,14,13,16,14,10,9,2,1,3,2,0,-1
254,3D6,11,3,11,10,13,18,0,-4,0,0,1,4
255,3D6,11,9,7,12,17,10,0,-1,-2,1,3,0
256,3D6,13,11,10,11,14,11,1,0,0,0,2,0
257,3D6,7,10,10,12,15,14,-2,0,0,1,2,2
258,3D6,8,16,14,12,13,9,-1,3,2,1,1,-1
259,3D6,6,14,12,7,10,8,-2,2,1,-2,0,-1
260,3D6,4,11,12,8,13,12,-3,0,1,-1,1,1
261,3D6,12,10,5,14,8,15,1,0,-3,2,-1,2
262,3D6,9,6,12,18,8,9,-1,-2,1,4,-1,-1
263,3D6,11,9,15,11,7,10,0,-1,2,0,-2,0
264,3D6,16,10,9,10,14,7,3,0,-1,0,2,-2
265,3D6,7,8,7,7,12,9,-2,-1,-2,-2,1,-1
266,3D6,7,12,14,8,10,9,-2,1,2,-1,0,-1
267,3D6,12,7,8,8,11,9,1,-2,-1,-1,0,-1
268,3D6,6,13,10,11,12,10,-2,1,0,0,1,0
269,3D6,11,6,11,7,8,7,0,-2,0,-2,-1,-2
270,3D6,13,10,10,10,10,11,1,0,0,0,0,0
271,3D6,9,10,10,7,16,9,-1,0,0,-2,3,-1
272,3D6,13,10,10,12,8,15,1,0,0,1,-1,2
273,3D6,10,8,8,9,7,12,0,-1,-1,-1,-2,1
274,3D6,11,10,9,14,9,14,0,0,-1,2,-1,2
275,3D6,8,7,10,12,9,8,-1,-2,0,1,-1,-1
276,3D6,15,10,13,11,10,9,2,0,1,0,0,-1
277,3D6,16,12,15,5,13,12,3,1,2,-3,1,1
278,3D6,10,14,9,14,7,7,0,2,-1,2,-2,-2
279,3D6,11,16,10,12,4,13,0,3,0,1,-3,1
280,3D6,9,10,10,11,11,13,-1,0,0,0,0,1
281,3D6,14,5,11,11,15,13,2,-3,0,0,2,1
282,3D6,15,9,14,8,14,10,2,-1,2,-1,2,0
283,3D6,12,11,11,6,6,13,1,0,0,-2,-2,1
284,3D6,9,11,13,13,12,10,-1,0,1,1,1,0
285,3D6,10,10,12,13,14,11,0,0,1,1,2,0
286,3D6,8,11,8,11,14,14,-1,0,-1,0,2,2
287,3D6,5,13,9,10,11,8,-3,1,-1,0,0,-1
288,3D6,9,11,7,9,6,9,-1,0,-2,-1,-2,-1
289,3D6,13,12,6,13,12,11,1,1,-2,1,1,0
290,3D6,11,11,5,13,8,8,0,0,-3,1,-1,-1
291,3D6,10,10,4,16,7,9,0,0,-3,3,-2,-1
292,3D6,12,9,7,13,7,11,1,-1,-2,1,-2,0
293,3D6,11,11,12,12,7,14,0,0,1,1,-2,2
294,3D6,12,13,7,9,8,9,1,1,-2,-1,-1,-1
295,3D6,6,7,13,12,10,5,-2,-2,1,1,0,-3
296,3D6,9,6,6,11,11,12,-1,-2,-2,0,0,1
297,3D6,12,10,10,18,14,17,1,0,0,4,2,3
298,3D6,11,12,12,14,9,10,0,1,1,2,-1,0
299,3D6,10,11,4,10,17,9,0,0,-3,0,3,-1
300,3D6,10,12,12,12,12,9,0,1,1,1,1,-1
301,3D6,7,12,15,6,11,9,-2,1,2,-2,0,-1
302,3D6,13,8,9,15,8,7,1,-1,-1,2,-1,-2
303,3D6,6,10,13,10,16,13,-2,0,1,0,3,1
304,3D6,12,12,10,9,10,14,1,1,0,-1,0,2
305,3D6,9,15,8,13,16,13,-1,2,-1,1,3,1
306,3D6,11,11,10,12,9,11,0,0,0,1,-1,0
307,3D6,12,15,12,11,5,12,1,2,1,0,-3,1
308,3D6,8,4,9,10,11,10,-1,-3,-1,0,0,0
309,3D6,12,14,8,10,10,12,1,2,-1,0,0,1
310,3D6,14,11,8,11,15,11,2,0,-1,0,2,0
311,3D6,10,9,13,12,6,10,0,-1,1,1,-2,0
312,3D6,6,9,12,13,12,6,-2,-1,1,1,1,-2
313,3D6,14,9,15,8,14,9,2,-1,2,-1,2,-1
314,3D6,9,13,16,7,8,11,-1,1,3,-2,-1,0
315,3D6,11,9,9,10,15,16,0,-1,-1,0,2,3
316,3D6,9,8,17,6,10,10,-1,-1,3,-2,0,0
317,3D6,10,11,8,13,11,11,0,0,-1,1,0,0
318,3D6,9,15,6,12,9,11,-1,2,-2,1,-1,0
319,3D6,9,7,10,14,12,15,-1,-2,0,2,1,2
320,3D6,12,10,12,10,11,10,1,0,1,0,0,0
321,3D6,13,15,13,16,9,11,1,2,1,3,-1,0
322,3D6,10,13,10,13,8,12,0,1,0,1,-1,1
323,3D6,11,8,8,17,12,9,0,-1,-1,3,1,-1
324,3D6,9,10,14,12,6,12,-1,0,2,1,-2,1
325,3D6,6,12,8,10,11,8,-2,1,-1,0,0,-1
326,3D6,7,6,13,7,12,13,-2,-2,1,-2,1,1
327,3D6,8,11,5,7,7,11,-1,0,-3,-2,-2,0
328,3D6,5,6,12,8,16,7,-3,-2,1,-1,3,-2
329,3D6,9,4,9,9,10,9,-1,-3,-1,-1,0,-1
330,3D6,15,8,15,9,9,9,2,-1,2,-1,-1,-1
331,3D6,16,9,8,9,11,15,3,-1,-1,-1,0,2
332,3D6,6,12,5,12,13,10,-2,1,-3,1,1,0
333,3D6,12,10,9,6,13,10,1,0,-1,-2,1,0
334,3D6,10,10,11,7,11,9,0,0,0,-2,0,-1
335,3D6,15,11,14,12,12,12,2,0,2,1,1,1
336,3D6,9,13,9,13,6,14,-1,1,-1,1,-2,2
337,3D6,14,9,3,15,12,11,2,-1,-4,2,1,0
338,3D6,13,7,10,10,12,10,1,-2,0,0,1,0
339,3D6,8,7,5,9,8,7,-1,-2,-3,-1,-1,-2
340,3D6,8,9,8,13,16,11,-1,-1,-1,1,3,0
341,3D6,10,8,12,15,11,16,0,-1,1,2,0,3
342,3D6,13,12,7,14,9,14,1,1,-2,2,-1,2
343,3D6,10,14,13,12,6,9,0,2,1,1,-2,-1
344,3D6,9,15,14,6,11,13,-1,2,2,-2,0,1
345,3D6,7,8,11,12,11,11,-2,-1,0,1,0,0
346,3D6,9,9,7,17,10,12,-1,-1,-2,3,0,1
347,3D6,9,16,10,16,10,14,-1,3,0,3,0,2
348,3D6,11,12,8,11,7,7,0,1,-1,0,-2,-2
349,3D6,11,8,12,13,8,13,0,-1,1,1,-1,1
350,3D6,15,7,7,7,15,11,2,-2,-2,-2,2,0
351,3D6,9,8,7,11,14,12,-1,-1,-2,0,2,1
352,3D6,6,8,11,5,10,13,-2,-1,0,-3,0,1
353,3D6,9,13,7,17,16,11,-1,1,-2,3,3,0
354,3D6,6,8,10,9,9,4,-2,-1,0,-1,-1,-3
355,3D6,8,13,14,8,11,5,-1,1,2,-1,0,-3
356,3D6,8,16,11,15,11,5,-1,3,0,2,0,-3
357,3D6,12,11,8,10,14,12,1,0,-1,0,2,1
358,3D6,12,13,9,15,14,9,1,1,-1,2,2,-1
359,3D6,8,9,14,16,4,9,-1,-1,2,3,-3,-1
360,3D6,9,14,8,8,16,12,-1,2,-1,-1,3,1
361,3D6,11,10,13,10,8,12,0,0,1,0,-1,1
362,3D6,5,6,13,8,6,9,-3,-2,1,-1,-2,-1
363,3D6,15,9,8,8,10,14,2,-1,-1,-1,0,2
364,3D6,15,16,9,10,9,12,2,3,-1,0,-1,1
365,3D6,11,5,14,13,9,7,0,-3,2,1,-1,-2
366,3D6,12,10,11,10,11,14,1,0,0,0,0,2
367,3D6,15,14,9,11,8,12,2,2,-1,0,-1,1
368,3D6,10,11,7,11,11,7,0,0,-2,0,0,-2
369,3D6,12,9,13,5,6,7,1,-1,1,-3,-2,-2
370,3D6,14,12,11,14,14,7,2,1,0,2,2,-2
371,3D6,7,11,11,13,14,16,-2,0,0,1,2,3
372,3D6,7,5,17,9,13,15,-2,-3,3,-1,1,2
373,3D6,9,6,11,12,17,8,-1,-2,0,1,3,-1
374,3D6,11,7,11,17,14,8,0,-2,0,3,2,-1
375,3D6,9,18,16,9,13,11,-1,4,3,-1,1,0
376,3D6,9,4,15,8,7,13,-1,-3,2,-1,-2,1
377,3D6,14,14,6,7,17,9,2,2,-2,-2,3,-1
378,3D6,9,13,15,8,18,7,-1,1,2,-1,4,-2
379,3D6,7,6,10,14,12,9,-2,-2,0,2,1,-1
380,3D6,13,11,13,10,11,11,1,0,1,0,0,0
381,3D6,12,11,13,9,12,12,1,0,1,-1,1,1
382,3D6,11,10,9,13,11,12,0,0,-1,1,0,1
383,3D6,13,7,8,14,11,8,1,-2,-1,2,0,-1
384,3D6,11,11,9,12,10,9,0,0,-1,1,0,-1
385,3D6,6,8,16,5,11,13,-2,-1,3,-3,0,1
386,3D6,11,14,13,11,10,8,0,2,1,0,0,-1
387,3D6,7,11,9,5,10,8,-2,0,-1,-3,0,-1
388,3D6,15,10,12,11,7,12,2,0,1,0,-2,1
389,3D6,11,12,11,13,12,8,0,1,0,1,1,-1
390,3D6,10,14,14,15,10,15,0,2,2,2,0,2
391,3D6,9,9,9,9,13,12,-1,-1,-1,-1,1,1
392,3D6,8,8,15,8,11,13,-1,-1,2,-1,0,1
393,3D6,12,10,10,8,12,14,1,0,0,-1,1,2
394,3D6,14,12,10,11,8,11,2,1,0,0,-1,0
395,3D6,6,11,16,14,17,14,-2,0,3,2,3,2
396,3D6,12,11,10,16,14,13,1,0,0,3,2,1
397,3D6,14,7,10,15,9,7,2,-2,0,2,-1,-2
398,3D6,13,10,9,9,11,8,1,0,-1,-1,0,-1
399,3D6,11,13,12,14,12,13,0,1,1,2,1,1
400,3D6,10,13,11,10,12,8,0,1,0,0,1,-1
401,3D6,10,14,13,13,16,11,0,2,1,1,3,0
402,3D6,13,8,11,12,9,16,1,-1,0,1,-1,3
403,3D6,12,8,11,15,11,9,1,-1,0,2,0,-1
404,3D6,10,13,9,12,10,11,0,1,-1,1,0,0
405,3D6,13,10,12,13,13,8,1,0,1,1,1,-1
406,3D6,15,8,8,13,12,7,2,-1,-1,1,1,-2
407,3D6,13,5,13,13,14,8,1,-3,1,1,2,-1
408,3D6,9,7,10,6,13,11,-1,-2,0,-2,1,0
409,3D6,6,9,9,14,13,10,-2,-1,-1,2,1,0
410,3D6,9,14,11,11,10,12,-1,2,0,0,0,1
411,3D6,10,12,10,13,12,7,0,1,0,1,1,-2
412,3D6,12,15,12,13,15,13,1,2,1,1,2,1
413,3D6,11,11,8,13,13,9,0,0,-1,1,1,-1
414,3D6,10,11,6,8,13,7,0,0,-2,-1,1,-2
415,3D6,12,12,12,13,10,14,1,1,1,1,0,2
416,3D6,13,4,12,5,11,12,1,-3,1,-3,0,1
417,3D6,13,8,9,8,9,9,1,-1,-1,-1,-1,-1
418,3D6,9,10,14,9,13,7,-1,0,2,-1,1,-2
419,3D6,8,14,12,15,13,7,-1,2,1,2,1,-2
420,3D6,14,7,9,17,5,7,2,-2,-1,3,-3,-2
421,3D6,13,10,17,9,18,8,1,0,3,-1,4,-1
422,3D6,14,11,15,13,5,4,2,0,2,1,-3,-3
423,3D6,12,10,13,13,6,12,1,0,1,1,-2,1
424,3D6,9,18,8,12,12,11,-1,4,-1,1,1,0
425,3D6,16,7,10,3,11,9,3,-2,0,-4,0,-1
426,3D6,12,9,5,9,6,13,1,-1,-3,-1,-2,1
427,3D6,8,9,11,9,9,15,-1,-1,0,-1,-1,2
428,3D6,9,16,8,6,11,13,-1,3,-1,-2,0,1
429,3D6,12,11,6,8,10,5,1,0,-2,-1,0,-3
